Name	Type	Park Code	Org Code	Region
NPS unit type designations (link)				
ABRAHAM LINCOLN BIRTHPLACE	NHP	ABLI	5540	SER
ACADIA    	NP	ACAD	1700	NER
ADAMS      	NHP	ADAM	1710	NER
AFRICAN BURIAL GROUND	NM	AFBG	1762	NER
AGATE FOSSIL BEDS     	NM	AGFO	6710	MWR
ALIBATES FLINT QUARRIES NATIONAL MONUMENT	NM	ALFL	7550	IMR
ALLEGHENY PORTAGE RAILROAD 	NHS	ALPO	4130	NER
AMISTAD    	NRA	AMIS	7100-7109	IMR
ANDERSONVILLE 	NHS	ANDE	5100	SER
ANDREW JOHNSON      	NHS	ANJO	5450	SER
ANIAKCHAK    	NM	ANIA		AKR
ANIAKCHAK    	NPRES	ANIA		AKR
ANTIETAM    	NB	ANTI	3120	NCR
APOSTLE ISLANDS     	NL	APIS	6140	MWR
"APPALACHIAN      
(CT, GA, ME, MD, MA, NH, NJ, NY NC, PA, TN, VT, VA, WV )"	NST	APPA		"*NER, SER
"
APPOMATTOX COURT HOUSE  	NHP	APCO	4180	NER
ARCHES    	NP	ARCH	1348	IMR
ARKANSAS POST     	NMEM	ARPO	7110	MWR
ARLINGTON HOUSE - ROBERT E. LEE MEMORIAL	NMEM	ARHO		NCR
"ASSATEAGUE ISLAND NS
"	NS	ASIS	4190	NER
AZTEC RUINS    	NM	AZRU	7380	IMR
BADLANDS    	NP	BADL	1300	MWR
BANDELIER    	NM	BAND	7120-7129	IMR
BELMONT-PAUL WOMEN'S EQUALITY	NM	BEPA		NCR
BENTS OLD FORT      	NHS	BEOL	1310	IMR
BERING LAND BRIDGE     	NPRES	BELA		AKR
BIG BEND    	NP	BIBE	7130-7139	IMR
BIG CYPRESS    	NPRES	BICY	5120	SER
BIG HOLE    	NB	BIHO	9374	PWR
"BIG SOUTH FORK    

"	NR&RA	BISO	5130	SER
BIG THICKET    	NPRES	BITH	7140-7149	IMR
"BIGHORN CANYON    
"	NRA	BICA	1380	IMR
BIRMINGHAM CIVIL RIGHTS	NM	BICR	5730	SER
BISCAYNE    	NP	BISC	5250	SER
BLACK CANYON OF THE GUNNISON    	NP	BLCA	1377	IMR
BLACKSTONE RIVER VALLEY	NHP	BLRV		NER
BLUE RIDGE	PW	BLRI	5140-5159	SER
BLUESTONE      	NSR	BLUE		NER
BOOKER T. WASHINGTON	NM	BOWA		NER
BOSTON    	NHP	BOST	1720	NER
BOSTON AFRICAN AMERICAN	NHS	BOAF	1723	NER
